vc_code,sub,pcf,oaf,vc_code_full,description
25,0,0,47,25,General - false personation of CHP officer
26,0,0,47,26,General - impersonating a peace officer
27,0,0,47,27,General - impersonating a CHP officer
28,0,0,47,28,General - failure to comply with lawful order
31,0,0,47,31,General - false information to a peace officer
2261,0,0,47,2261,Administration - false statement to DMV
2504,0,0,47,2504,Administration - driving without registration
2800,0,17,44,2800,Administration - failure to obey peace officer
2801,0,17,44,2801,Administration - failure to obey traffic officer signal
2813,0,0,47,2813,Administration - vehicle weighing at roadside requirement
2814,0,0,47,2814,Administration - sobriety checkpoint authority
2815,0,17,44,2815,Administration - license checkpoint authority
2817,0,17,44,2817,Administration - commercial vehicle inspection authority
2818,0,0,44,2818,Administration - school bus inspection authority
4159,0,0,46,4159,Registration - vehicle identification number requirements
4160,0,0,46,4160,Registration - assigned vehicle ID number requirement
4301,0,0,46,4301,Registration - license plate required
4455,0,0,46,4455,Registration - display of registration documents required
4457,0,0,46,4457,Registration - fictitious registration documents
4458,0,0,46,4458,Registration - altered registration documents
4459,0,0,46,4459,Registration - counterfeit registration documents
4461,0,0,46,4461,Registration - use of another person's registration
4464,0,0,46,4464,Registration - fictitious license plate
5017,0,0,46,5017,Registration - personalized license plate requirements
5109,0,0,46,5109,Registration - environmental license plate rules
5200,0,0,46,5200,Registration - license plate front and rear required
5201,0,0,46,5201,Registration - license plate display requirements
5202,0,0,46,5202,Registration - license plate illumination required
5206,0,0,46,5206,Registration - license plate frame restriction
5352,0,0,46,5352,Registration - special license plate conditions
5753,0,0,46,5753,Registration - motorcycle license plate display requirement
6855,0,0,46,6855,Registration - bicycle registration requirement
8008,0,0,46,8008,Registration - vessel registration card display requirement
8802,0,0,46,8802,Registration - vessel number display requirement
8803,0,0,46,8803,Registration - vessel certificate display requirement
9850,0,0,46,9850,Registration - vessel registration required
9853,0,0,46,9853,Registration - vessel number display required
9854,0,0,46,9854,Registration - vessel registration certificate required
9865,0,0,46,9865,Registration - vessel registration renewal
9866,0,0,46,9866,Registration - vessel registration transfer
9872,0,0,46,9872,Registration - vessel lighting requirement
9875,0,0,46,9875,Registration - vessel safety equipment requirement
9901,0,0,46,9901,Registration - vessel operation requirements
10852,0,0,47,10852,Antitheft - tampering with a vehicle
10853,0,DO,47,10853,Antitheft - malicious mischief to a vehicle
10854,0,0,47,10854,Antitheft - taking vehicle without consent for temporary use
11100,0,0,47,11100,Occupational - dealer license - general requirement
11103,0,0,47,11103,Occupational - dealer established place of business required
11109,0,0,47,11109,Occupational - dealer license revocation grounds
11300,0,0,47,11300,Occupational - vehicle salesperson license required
11700,0,0,46,11700,Occupational - auto broker license required
12511,0,0,47,12511,Driver license - minor driving without license
12516,0,17,44,12516,Driver license - minor operating commercial vehicle
12517,0,0,47,12517,Driver license - school bus driver certification required
12815,0,0,47,12815,Driver license - failure to surrender suspended license
13003,0,0,47,13003,Identification card - unlawful use of identification card
13007,0,0,47,13007,Driver license - failure to report change of address
14603,0,17,44,14603,Driver license - driving in violation of license restriction
14610,0,0,47,14610,Driver license - license fraud/alteration - general
15501,0,0,47,15501,Minor vehicle transaction - prohibition on vehicle sales to minors
16560,0,0,47,16560,Financial responsibility - uninsured motorist - license suspension
21203,0,17,44,21203,Bicycle - attaching to vehicle - hitchhiking prohibition
21205,0,17,44,21205,Bicycle - carrying articles - obstructing control prohibition
21210,0,0,34,21210,Bicycle - parking on sidewalk prohibition
21455,0,12,23,21455,Traffic signal - official traffic control device - obedience required
21462,0,17,44,21462,Traffic device - traffic control signal - obedience required
21463,0,17,47,21463,Traffic device - traffic control device - local authority
21465,0,17,47,21465,Traffic device - unauthorized traffic control device prohibition
21466,0,17,47,21466,Traffic device - lighting impairing driver vision prohibition
22507,8,0,38,225078,"Parking - preferential zone restriction, sub (.8)"
22515,A,13,38,22515A,"Parking - unattended vehicle brake/gear requirement, sub (a)"
22523,A,0,47,22523A,"Parking - abandoned vehicle prohibition, sub (a)"
22526,A,2,22,22526A,"Parking - blocking intersection/crosswalk (gridlock) prohibited, sub (a)"
22952,A,0,47,22952A,"Parking lot - 15 mph speed limit posted requirement, sub (a)"
23103,A,0,26,23103A,"Reckless driving, sub (a)"
23104,A,0,26,23104A,"Reckless driving causing bodily injury, sub (a)"
23109,A,17,44,23109A,"Speed contest (racing) on highway, sub (a)"
23110,A,17,47,23110A,"Throwing substance at vehicle on highway, sub (a)"
23112,A,17,47,23112A,"Dumping material on highway, sub (a)"
23113,A,0,47,23113A,"Removal of dumped material - driver duty, sub (a)"
23114,A,17,44,23114A,"Spilling load on highway violation, sub (a)"
23116,A,17,44,23116A,"Transporting person in truck bed prohibited, sub (a)"
23117,A,17,47,23117A,"Transporting animal in vehicle - cruelty prohibition, sub (a)"
23128,A,17,44,23128A,"Motor vehicle on public lands - speed restriction, sub (a)"
23130,A,0,49,23130A,"Driving on closed road prohibition, sub (a)"
23152,A,1,20,23152A,"DUI - alcohol - driving while under the influence, sub (a)"
23153,A,1,20,23153A,"DUI causing bodily injury - alcohol, sub (a)"
23222,A,0,47,23222A,"Alcohol/marijuana - open container in vehicle, sub (a)"
23224,A,0,47,23224A,"Alcohol - minor possessing alcohol in vehicle, sub (a)"
23270,A,17,44,23270A,"Vehicular crossing - towing vehicle rules, sub (a)"
23330,A,17,47,23330A,"Toll road - prohibited acts, sub (a)"
24002,A,16,43,24002A,"Equipment - adequate brakes required, sub (a)"
24015,A,16,43,24015A,"Equipment - headlamp aim requirement, sub (a)"
24252,A,14,39,24252A,"Equipment - headlamp requirements, sub (a)"
24253,A,14,39,24253A,"Equipment - headlamp specifications, sub (a)"
24402,A,17,44,24402A,"Equipment - auxiliary driving/passing lamps, sub (a)"
24404,A,17,44,24404A,"Equipment - foglamp requirements, sub (a)"
24405,A,17,44,24405A,"Equipment - turn signal lamp requirements, sub (a)"
24407,A,14,39,24407A,"Equipment - signal lamp visibility, sub (a)"
24408,A,14,39,24408A,"Equipment - signal lamp color, sub (a)"
24409,A,17,44,24409A,"Equipment - headlamp color requirement, sub (a)"
24410,A,14,39,24410A,"Equipment - reflector requirements, sub (a)"
24600,A,14,39,24600A,"Equipment - taillamp requirements, sub (a)"
24600,E,14,39,24600E,"Equipment - taillamp requirements, sub (e)"
24603,A,14,39,24603A,"Equipment - stop lamp requirements, sub (a)"
24603,E,14,39,24603E,"Equipment - stop lamp requirements, sub (e)"
24605,A,14,39,24605A,"Equipment - license plate lamp requirements, sub (a)"
24606,A,14,39,24606A,"Equipment - backup lamp requirements, sub (a)"
24607,A,14,39,24607A,"Equipment - turn signal lamp, sub (a)"
24608,A,14,39,24608A,"Equipment - hazard lamp requirements, sub (a)"
24951,B,14,39,24951B,"Equipment - brake performance standard, sub (b)"
24953,A,14,39,24953A,"Equipment - parking brake requirement, sub (a)"
25100,A,14,39,25100A,"Equipment - clearance/marker lamp front, sub (a)"
25100,F,14,39,25100F,"Equipment - clearance/marker lamp front, sub (f)"
25103,A,14,39,25103A,"Equipment - lamp placement requirements, sub (a)"
25105,A,14,39,25105A,"Equipment - lighting on projecting loads, sub (a)"
25106,A,14,39,25106A,"Equipment - lighting on wide loads, sub (a)"
25108,A,14,39,25108A,"Equipment - pilot car lighting requirements, sub (a)"
25257,A,14,39,25257A,"Equipment - motorcycle reflectors, sub (a)"
25260,4,17,47,252604,"Equipment - special reflector requirements, sub (.4)"
25276,A,17,47,25276A,"Equipment - retroreflective material color, sub (a)"
25300,A,16,43,25300A,"Equipment - clearance lamp color requirements, sub (a)"
25301,A,17,47,25301A,"Equipment - identification lamp color, sub (a)"
25305,A,0,47,25305A,"Equipment - lamp restrictions, sub (a)"
25351,A,14,39,25351A,"Equipment - flashing warning lamp, sub (a)"
25352,B,16,43,25352B,"Equipment - amber warning lamp, sub (b)"
